Transaction Key;Transaction ID;Customer ID;Location;Payment Method;Category;Item;Quantity;Unit Price;Unit_Cost;Discount_Rate;Total_Recalc;Gross_Profit_After_Discount;Gross_Margin_%;Customer Age;Tenure (Years);Price_vs_Cost_Flag;Pre_Discount_Total;Discount_Zero_Flag;Total Spent;Date;Future_Date_Flag;Pre_Recalc;Gross_Profit;Year;Month;Week;Membership Level;Region;Province/State;Log_Total_Recalc;Month_Year;;
TXN_628845_20240101;TXN_628845;CUST_0586;Online;Credit Card;Food;Pasta Pack;4;10,58;7,12;0,000;42,32;13,84;0,33;32;0,4;OK;42,32;No Discount;42,32;1/1/24;OK;42,32;13,84;2024;01;1;Gold;Northeast;NY;1,63;Jan-2024;;
TXN_124862_20240310;TXN_124862;CUST_0006;Online;Credit Card;Food;Cooking Oil Bottle;12;3,88;2,94;0,000;46,56;11,28;0,24;58;3,5;OK;46,56;No Discount;46,56;10/3/24;OK;46,56;11,28;2024;03;11;Standard;South;FL;1,67;Mar-2024;;
TXN_722841_20240909;TXN_722841;CUST_0750;Online;Digital Wallet;Food;Cereal Box;23;7,51;6,46;0,038;166,17;17,59;0,11;53;8,5;OK;172,73;Discounted;166,17;9/9/24;OK;172,73;24,15;2024;09;37;Platinum;Eastern Canada;QC;2,22;Sep-2024;;
TXN_262193_20240620;TXN_262193;CUST_0767;In-store;Cash;Food;Cooking Oil Bottle;6;3,88;2,26;0,000;23,28;9,72;0,42;56;8,6;OK;23,28;No Discount;23,28;20/6/24;OK;23,28;9,72;2024;06;25;Standard;West;WA;1,37;Jun-2024;;
TXN_392082_20231218;TXN_392082;CUST_0532;In-store;Credit Card;Food;Rice Bag;6;11,77;6,29;0,000;70,62;32,88;0,47;35;4,2;OK;70,62;No Discount;70,62;18/12/23;OK;70,62;32,88;2023;12;51;Standard;Northeast;NY;1,85;Dec-2023;;
TXN_964785_20230725;TXN_964785;CUST_0580;Online;Credit Card;Food;Cooking Oil Bottle;4;3,88;3,02;0,000;15,52;3,44;0,22;22;6,5;OK;15,52;No Discount;15,52;25/7/23;OK;15,52;3,44;2023;07;30;Gold;South;TX;1,19;Jul-2023;;
TXN_964102_20240605;TXN_964102;CUST_0878;Online;Credit Card;Food;Rice Bag;13;11,77;7,06;0,041;146,74;54,96;0,37;39;5,6;OK;153,01;Discounted;146,74;5/6/24;OK;153,01;61,23;2024;06;23;Standard;West;CA;2,17;Jun-2024;;
TXN_848997_20241018;TXN_848997;CUST_0963;In-store;Cash;Food;Canned Beans;5;11,83;10,09;0,000;59,15;8,70;0,15;30;6,1;OK;59,15;No Discount;59,15;18/10/24;OK;59,15;8,70;2024;10;42;Gold;Northeast;NY;1,77;Oct-2024;;
TXN_424386_20240922;TXN_424386;CUST_0543;In-store;Cash;Food;Rice Bag;30;11,77;9,96;0,055;333,68;34,88;0,10;58;3,2;OK;353,10;Discounted;333,68;22/9/24;OK;353,10;54,30;2024;09;39;Gold;West;AZ;2,52;Sep-2024;;
TXN_604229_20231111;TXN_604229;CUST_0178;In-store;Credit Card;Food;Rice Bag;20;11,77;8,51;0,036;226,93;56,73;0,25;53;6,8;OK;235,40;Discounted;226,93;11/11/23;OK;235,40;65,20;2023;11;45;Gold;West;CA;2,36;Nov-2023;;
TXN_692514_20250725;TXN_692514;CUST_0468;In-store;Digital Wallet;Food;Rice Bag;5;11,77;8,18;0,000;58,85;17,95;0,31;20;3,5;OK;58,85;No Discount;58,85;25/7/25;OK;58,85;17,95;2025;07;30;Standard;Northeast;PA;1,77;Jul-2025;;
TXN_529340_20250513;TXN_529340;CUST_0043;In-store;Credit Card;Food;Cooking Oil Bottle;11;3,88;2,01;0,000;42,68;20,57;0,48;36;3,0;OK;42,68;No Discount;42,68;13/5/25;OK;42,68;20,57;2025;05;20;Standard;Northeast;NY;1,63;May-2025;;
TXN_409286_20230925;TXN_409286;CUST_0857;In-store;Cash;Food;Pasta Pack;23;10,58;9,50;0,055;229,96;11,46;0,05;41;9,7;OK;243,34;Discounted;229,96;25/9/23;OK;243,34;24,84;2023;09;39;Platinum;South;TX;2,36;Sep-2023;;
TXN_321363_20230916;TXN_321363;CUST_0601;Online;Credit Card;Food;Rice Bag;12;11,77;7,01;0,047;134,60;50,48;0,38;24;3,4;OK;141,24;Discounted;134,60;16/9/23;OK;141,24;57,12;2023;09;37;Platinum;South;TX;2,13;Sep-2023;;
TXN_877766_20230102;TXN_877766;CUST_0908;In-store;Cash;Food;Cereal Box;3;7,51;4,97;0,000;22,53;7,62;0,34;57;6,2;OK;22,53;No Discount;22,53;2/1/23;OK;22,53;7,62;2023;01;1;Standard;Northeast;MD;1,35;Jan-2023;;
TXN_432089_20240705;TXN_432089;CUST_0560;In-store;Cash;Food;Cooking Oil Bottle;30;3,88;2,90;0,050;110,58;23,58;0,21;40;0,1;OK;116,40;Discounted;110,58;5/7/24;OK;116,40;29,40;2024;07;27;Gold;South;NC;2,04;Jul-2024;;
TXN_223107_20231219;TXN_223107;CUST_0724;Online;Credit Card;Food;Pasta Pack;6;10,58;7,02;0,000;63,48;21,36;0,34;60;1,2;OK;63,48;No Discount;63,48;19/12/23;OK;63,48;21,36;2023;12;51;Standard;South;TN;1,80;Dec-2023;;
TXN_658568_20250821;TXN_658568;CUST_0745;In-store;Cash;Food;Pasta Pack;9;10,58;8,75;0,000;95,22;16,47;0,17;31;3,3;OK;95,22;No Discount;95,22;21/8/25;OK;95,22;16,47;2025;08;34;Gold;West;OR;1,98;Aug-2025;;
TXN_756852_20250409;TXN_756852;CUST_0117;In-store;Credit Card;Food;Cooking Oil Bottle;10;3,88;2,05;0,000;38,80;18,30;0,47;70;1,8;OK;38,80;No Discount;38,80;9/4/25;OK;38,80;18,30;2025;04;15;Standard;West;AZ;1,59;Apr-2025;;
TXN_603417_20250825;TXN_603417;CUST_0796;In-store;Credit Card;Food;Cereal Box;19;7,51;6,04;0,044;136,41;21,65;0,16;39;3,3;OK;142,69;Discounted;136,41;25/8/25;OK;142,69;27,93;2025;08;35;Gold;Northeast;MA;2,13;Aug-2025;;
TXN_797831_20230812;TXN_797831;CUST_0479;In-store;Cash;Food;Canned Beans;13;11,83;6,99;0,048;146,41;55,54;0,38;33;0,7;OK;153,79;Discounted;146,41;12/8/23;OK;153,79;62,92;2023;08;32;Standard;South;TX;2,17;Aug-2023;;
TXN_833677_20240817;TXN_833677;CUST_0633;In-store;Cash;Food;Cooking Oil Bottle;8;3,88;2,98;0,000;31,04;7,20;0,23;56;8,8;OK;31,04;No Discount;31,04;17/8/24;OK;31,04;7,20;2024;08;33;Standard;West;CA;1,49;Aug-2024;;
TXN_149207_20240208;TXN_149207;CUST_0713;In-store;Cash;Food;Pasta Pack;20;10,58;8,61;0,040;203,14;30,94;0,15;49;2,2;OK;211,60;Discounted;203,14;8/2/24;OK;211,60;39,40;2024;02;6;Platinum;South;TX;2,31;Feb-2024;;
TXN_566294_20240903;TXN_566294;CUST_0249;In-store;Cash;Food;Canned Beans;13;11,83;9,79;0,038;147,95;20,68;0,14;42;5,1;OK;153,79;Discounted;147,95;3/9/24;OK;153,79;26,52;2024;09;36;Standard;Northeast;PA;2,17;Sep-2024;;
TXN_237529_20250408;TXN_237529;CUST_0713;Online;Credit Card;Food;Pasta Pack;14;10,58;7,94;0,046;141,31;30,15;0,21;49;2,2;OK;148,12;Discounted;141,31;8/4/25;OK;148,12;36,96;2025;04;15;Platinum;South;TX;2,15;Apr-2025;;
TXN_824611_20230524;TXN_824611;CUST_0039;In-store;Cash;Food;Rice Bag;13;11,77;9,40;0,043;146,43;24,23;0,17;44;0,8;OK;153,01;Discounted;146,43;24/5/23;OK;153,01;30,81;2023;05;21;Standard;Western Canada;SK;2,17;May-2023;;
TXN_834264_20230525;TXN_834264;CUST_0393;Online;Credit Card;Food;Canned Beans;13;11,83;9,40;0,031;149,02;26,82;0,18;64;7,4;OK;153,79;Discounted;149,02;25/5/23;OK;153,79;31,59;2023;05;21;Standard;West;AZ;2,17;May-2023;;
TXN_460826_20230616;TXN_460826;CUST_0161;In-store;Credit Card;Food;Cooking Oil Bottle;12;3,88;1,96;0,000;46,56;23,04;0,49;27;6,4;OK;46,56;No Discount;46,56;16/6/23;OK;46,56;23,04;2023;06;24;Standard;West;CA;1,67;Jun-2023;;
TXN_885723_20231010;TXN_885723;CUST_0740;In-store;Cash;Food;Cooking Oil Bottle;13;3,88;2,87;0,000;50,44;13,13;0,26;44;3,4;OK;50,44;No Discount;50,44;10/10/23;OK;50,44;13,13;2023;10;41;Standard;South;TX;1,70;Oct-2023;;
TXN_562692_20250318;TXN_562692;CUST_0230;In-store;Credit Card;Food;Cereal Box;12;7,51;4,68;0,000;90,12;33,96;0,38;44;5,5;OK;90,12;No Discount;90,12;18/3/25;OK;90,12;33,96;2025;03;12;Standard;West;OR;1,95;Mar-2025;;
TXN_773344_20241027;TXN_773344;CUST_0982;In-store;Cash;Food;Canned Beans;8;11,83;8,16;0,000;94,64;29,36;0,31;51;5,0;OK;94,64;No Discount;94,64;27/10/24;OK;94,64;29,36;2024;10;44;Standard;South;TX;1,98;Oct-2024;;
TXN_646030_20231219;TXN_646030;CUST_0171;In-store;Credit Card;Food;Cereal Box;19;7,51;5,70;0,034;137,84;29,54;0,21;35;7,3;OK;142,69;Discounted;137,84;19/12/23;OK;142,69;34,39;2023;12;51;Standard;Midwest;IN;2,14;Dec-2023;;
TXN_857262_20250828;TXN_857262;CUST_0769;In-store;Cash;Food;Cooking Oil Bottle;5;3,88;3,37;0,000;19,40;2,55;0,13;39;4,4;OK;19,40;No Discount;19,40;28/8/25;OK;19,40;2,55;2025;08;35;Platinum;Midwest;IL;1,29;Aug-2025;;
TXN_507955_20250402;TXN_507955;CUST_0718;Online;Credit Card;Food;Cereal Box;32;7,51;5,76;0,043;229,99;45,67;0,20;51;4,8;OK;240,32;Discounted;229,99;2/4/25;OK;240,32;56,00;2025;04;14;Gold;Northeast;MD;2,36;Apr-2025;;
TXN_829097_20251026;TXN_829097;CUST_0337;Online;Credit Card;Food;Canned Beans;23;11,83;7,85;0,045;259,85;79,30;0,31;44;7,3;OK;272,09;Discounted;259,85;26/10/25;OK;272,09;91,54;2025;10;44;Gold;Northeast;PA;2,41;Oct-2025;;
TXN_954547_20230913;TXN_954547;CUST_0600;Online;Credit Card;Food;Cooking Oil Bottle;25;3,88;2,54;0,000;97,00;33,50;0,35;37;7,8;OK;97,00;No Discount;97,00;13/9/23;OK;97,00;33,50;2023;09;37;Platinum;South;TX;1,99;Sep-2023;;
TXN_690180_20241223;TXN_690180;CUST_0753;In-store;Cash;Food;Pasta Pack;22;10,58;6,58;0,050;221,12;76,36;0,35;58;0,9;OK;232,76;Discounted;221,12;23/12/24;OK;232,76;88,00;2024;12;52;Platinum;Midwest;IL;2,34;Dec-2024;;
TXN_843636_20250206;TXN_843636;CUST_0457;Online;Credit Card;Food;Cooking Oil Bottle;10;3,88;2,91;0,000;38,80;9,70;0,25;23;6,5;OK;38,80;No Discount;38,80;6/2/25;OK;38,80;9,70;2025;02;6;Platinum;Midwest;IL;1,59;Feb-2025;;
TXN_422156_20250715;TXN_422156;CUST_0394;In-store;Credit Card;Food;Cereal Box;10;7,51;5,78;0,000;75,10;17,30;0,23;45;6,8;OK;75,10;No Discount;75,10;15/7/25;OK;75,10;17,30;2025;07;29;Standard;South;TX;1,88;Jul-2025;;
TXN_655475_20250726;TXN_655475;CUST_0146;Online;Credit Card;Food;Cereal Box;14;7,51;6,54;0,038;101,14;9,58;0,09;60;1,7;OK;105,14;Discounted;101,14;26/7/25;OK;105,14;13,58;2025;07;30;Standard;Eastern Canada;QC;2,00;Jul-2025;;
TXN_857342_20230916;TXN_857342;CUST_0265;In-store;Digital Wallet;Food;Cooking Oil Bottle;12;3,88;2,12;0,000;46,56;21,12;0,45;28;9,0;OK;46,56;No Discount;46,56;16/9/23;OK;46,56;21,12;2023;09;37;Gold;West;CA;1,67;Sep-2023;;
TXN_251036_20241010;TXN_251036;CUST_0249;Online;Digital Wallet;Food;Rice Bag;11;11,77;10,34;0,049;123,13;9,39;0,08;42;5,1;OK;129,47;Discounted;123,13;10/10/24;OK;129,47;15,73;2024;10;41;Standard;Northeast;PA;2,09;Oct-2024;;
TXN_953927_20240513;TXN_953927;CUST_0525;Online;Credit Card;Food;Rice Bag;10;11,77;8,29;0,043;112,64;29,74;0,26;30;3,1;OK;117,70;Discounted;112,64;13/5/24;OK;117,70;34,80;2024;05;20;Standard;Northeast;MA;2,05;May-2024;;
TXN_569605_20251004;TXN_569605;CUST_0811;In-store;Cash;Food;Rice Bag;46;11,77;9,06;0,073;501,90;85,14;0,17;50;3,3;OK;541,42;Discounted;501,90;4/10/25;OK;541,42;124,66;2025;10;40;Standard;South;FL;2,70;Oct-2025;;
TXN_439064_20230827;TXN_439064;CUST_0098;In-store;Cash;Food;Pasta Pack;16;10,58;8,17;0,046;161,49;30,77;0,19;36;7,8;OK;169,28;Discounted;161,49;27/8/23;OK;169,28;38,56;2023;08;35;Gold;West;NV;2,21;Aug-2023;;
TXN_337321_20230828;TXN_337321;CUST_0388;In-store;Digital Wallet;Food;Pasta Pack;14;10,58;5,97;0,034;143,08;59,50;0,42;59;9,5;OK;148,12;Discounted;143,08;28/8/23;OK;148,12;64,54;2023;08;35;Standard;West;CA;2,16;Aug-2023;;
TXN_402847_20250111;TXN_402847;CUST_0555;Online;Credit Card;Food;Pasta Pack;30;10,58;8,22;0,039;305,02;58,42;0,19;32;9,6;OK;317,40;Discounted;305,02;11/1/25;OK;317,40;70,80;2025;01;2;Platinum;South;TX;2,48;Jan-2025;;
TXN_654239_20230716;TXN_654239;CUST_0735;Online;Credit Card;Food;Cooking Oil Bottle;4;3,88;2,26;0,000;15,52;6,48;0,42;60;6,0;OK;15,52;No Discount;15,52;16/7/23;OK;15,52;6,48;2023;07;29;Platinum;Eastern Canada;ON;1,19;Jul-2023;;
TXN_647995_20240611;TXN_647995;CUST_0159;In-store;Cash;Food;Cooking Oil Bottle;21;3,88;2,47;0,000;81,48;29,61;0,36;52;0,0;OK;81,48;No Discount;81,48;11/6/24;OK;81,48;29,61;2024;06;24;Standard;West;CA;1,91;Jun-2024;;
TXN_654318_20250813;TXN_654318;CUST_0475;In-store;Credit Card;Food;Canned Beans;6;11,83;10,04;0,000;70,98;10,74;0,15;22;8,4;OK;70,98;No Discount;70,98;13/8/25;OK;70,98;10,74;2025;08;33;Standard;West;OR;1,85;Aug-2025;;
TXN_176251_20230216;TXN_176251;CUST_0489;In-store;Cash;Food;Rice Bag;5;11,77;9,85;0,000;58,85;9,60;0,16;24;1,1;OK;58,85;No Discount;58,85;16/2/23;OK;58,85;9,60;2023;02;7;Standard;Midwest;IL;1,77;Feb-2023;;
TXN_128444_20251011;TXN_128444;CUST_0025;In-store;Digital Wallet;Food;Canned Beans;4;11,83;9,20;0,000;47,32;10,52;0,22;69;3,4;OK;47,32;No Discount;47,32;11/10/25;OK;47,32;10,52;2025;10;41;Standard;South;FL;1,68;Oct-2025;;
TXN_463131_20240709;TXN_463131;CUST_0216;In-store;Cash;Food;Rice Bag;80;11,77;6,64;0,093;854,03;322,83;0,38;49;9,5;OK;941,60;Discounted;854,03;9/7/24;OK;941,60;410,40;2024;07;28;Gold;Northeast;MA;2,93;Jul-2024;;
TXN_723587_20251016;TXN_723587;CUST_0076;In-store;Cash;Food;Cereal Box;9;7,51;4,37;0,000;67,59;28,26;0,42;53;0,9;OK;67,59;No Discount;67,59;16/10/25;OK;67,59;28,26;2025;10;42;Standard;Midwest;OH;1,83;Oct-2025;;
TXN_676832_20240717;TXN_676832;CUST_0853;In-store;Credit Card;Food;Canned Beans;9;11,83;9,12;0,045;101,68;19,60;0,19;48;1,1;OK;106,47;Discounted;101,68;17/7/24;OK;106,47;24,39;2024;07;29;Standard;South;NC;2,01;Jul-2024;;
TXN_821779_20250417;TXN_821779;CUST_0273;In-store;Credit Card;Food;Cooking Oil Bottle;13;3,88;2,37;0,000;50,44;19,63;0,39;47;4,3;OK;50,44;No Discount;50,44;17/4/25;OK;50,44;19,63;2025;04;16;Standard;Western Canada;BC;1,70;Apr-2025;;
TXN_264729_20240509;TXN_264729;CUST_0962;In-store;Credit Card;Food;Cereal Box;14;7,51;4,63;0,054;99,46;34,64;0,35;26;3,9;OK;105,14;Discounted;99,46;9/5/24;OK;105,14;40,32;2024;05;19;Gold;West;CO;2,00;May-2024;;
TXN_731510_20230721;TXN_731510;CUST_0668;In-store;Cash;Food;Canned Beans;5;11,83;6,78;0,000;59,15;25,25;0,43;62;9,5;OK;59,15;No Discount;59,15;21/7/23;OK;59,15;25,25;2023;07;29;Standard;South;TX;1,77;Jul-2023;;
TXN_597059_20250305;TXN_597059;CUST_0526;Online;Credit Card;Food;Cereal Box;6;7,51;4,95;0,000;45,06;15,36;0,34;35;2,4;OK;45,06;No Discount;45,06;5/3/25;OK;45,06;15,36;2025;03;10;Gold;West;OR;1,65;Mar-2025;;
TXN_170424_20250901;TXN_170424;CUST_0884;In-store;Cash;Food;Cereal Box;44;7,51;4,13;0,049;314,25;132,53;0,42;36;6,0;OK;330,44;Discounted;314,25;1/9/25;OK;330,44;148,72;2025;09;36;Standard;West;CA;2,50;Sep-2025;;
TXN_200197_20240602;TXN_200197;CUST_0713;Online;Credit Card;Food;Cereal Box;17;7,51;5,86;0,059;120,14;20,52;0,17;49;2,2;OK;127,67;Discounted;120,14;2/6/24;OK;127,67;28,05;2024;06;23;Platinum;South;TX;2,08;Jun-2024;;
TXN_971098_20240619;TXN_971098;CUST_0068;Online;Credit Card;Food;Cooking Oil Bottle;30;3,88;1,95;0,048;110,81;52,31;0,47;49;5,8;OK;116,40;Discounted;110,81;19/6/24;OK;116,40;57,90;2024;06;25;Standard;Midwest;IL;2,04;Jun-2024;;
TXN_465362_20250714;TXN_465362;CUST_0069;In-store;Cash;Food;Cereal Box;21;7,51;3,86;0,045;150,61;69,55;0,46;52;9,4;OK;157,71;Discounted;150,61;14/7/25;OK;157,71;76,65;2025;07;29;Standard;Northeast;MA;2,18;Jul-2025;;
TXN_141339_20250708;TXN_141339;CUST_0881;In-store;Cash;Food;Cooking Oil Bottle;12;3,88;3,17;0,000;46,56;8,52;0,18;20;0,2;OK;46,56;No Discount;46,56;8/7/25;OK;46,56;8,52;2025;07;28;Standard;West;CA;1,67;Jul-2025;;
TXN_358128_20251004;TXN_358128;CUST_0525;In-store;Cash;Food;Pasta Pack;10;10,58;5,86;0,048;100,72;42,12;0,42;30;3,1;OK;105,80;Discounted;100,72;4/10/25;OK;105,80;47,20;2025;10;40;Standard;Northeast;MA;2,00;Oct-2025;;
TXN_373735_20241117;TXN_373735;CUST_0085;In-store;Credit Card;Food;Cereal Box;5;7,51;6,24;0,000;37,55;6,35;0,17;27;9,0;OK;37,55;No Discount;37,55;17/11/24;OK;37,55;6,35;2024;11;47;Standard;Midwest;IL;1,57;Nov-2024;;
TXN_911394_20240708;TXN_911394;CUST_0270;In-store;Cash;Food;Rice Bag;3;11,77;5,97;0,000;35,31;17,40;0,49;70;8,9;OK;35,31;No Discount;35,31;8/7/24;OK;35,31;17,40;2024;07;28;Gold;West;CO;1,55;Jul-2024;;
TXN_600670_20240817;TXN_600670;CUST_0658;In-store;Credit Card;Food;Cooking Oil Bottle;8;3,88;2,19;0,000;31,04;13,52;0,44;21;8,8;OK;31,04;No Discount;31,04;17/8/24;OK;31,04;13,52;2024;08;33;Standard;Eastern Canada;ON;1,49;Aug-2024;;
TXN_568168_20250918;TXN_568168;CUST_0137;In-store;Cash;Food;Pasta Pack;11;10,58;7,36;0,038;111,96;31,00;0,28;23;0,4;OK;116,38;Discounted;111,96;18/9/25;OK;116,38;35,42;2025;09;38;Platinum;Midwest;MI;2,05;Sep-2025;;
TXN_239370_20240108;TXN_239370;CUST_0858;Online;Credit Card;Food;Cooking Oil Bottle;4;3,88;2,57;0,000;15,52;5,24;0,34;21;9,7;OK;15,52;No Discount;15,52;8/1/24;OK;15,52;5,24;2024;01;2;Platinum;South;TN;1,19;Jan-2024;;
TXN_445957_20241114;TXN_445957;CUST_0746;In-store;Credit Card;Food;Cereal Box;8;7,51;5,19;0,000;60,08;18,56;0,31;45;8,2;OK;60,08;No Discount;60,08;14/11/24;OK;60,08;18,56;2024;11;46;Standard;Northeast;PA;1,78;Nov-2024;;
TXN_700603_20240913;TXN_700603;CUST_0300;In-store;Cash;Food;Cooking Oil Bottle;20;3,88;3,47;0,000;77,60;8,20;0,11;40;1,5;OK;77,60;No Discount;77,60;13/9/24;OK;77,60;8,20;2024;09;37;Platinum;South;TX;1,89;Sep-2024;;
TXN_104602_20230724;TXN_104602;CUST_0539;In-store;Credit Card;Food;Canned Beans;11;11,83;8,82;0,034;125,71;28,69;0,23;61;9,5;OK;130,13;Discounted;125,71;24/7/23;OK;130,13;33,11;2023;07;30;Gold;Midwest;IL;2,10;Jul-2023;;
TXN_546508_20250826;TXN_546508;CUST_0169;Online;Credit Card;Food;Canned Beans;16;11,83;6,60;0,045;180,76;75,16;0,42;28;9,6;OK;189,28;Discounted;180,76;26/8/25;OK;189,28;83,68;2025;08;35;Standard;South;OK;2,26;Aug-2025;;
TXN_984131_20251017;TXN_984131;CUST_0981;Online;Credit Card;Food;Rice Bag;13;11,77;6,73;0,047;145,82;58,33;0,40;30;4,1;OK;153,01;Discounted;145,82;17/10/25;OK;153,01;65,52;2025;10;42;Standard;South;TX;2,16;Oct-2025;;
TXN_789827_20230502;TXN_789827;CUST_0568;Online;Credit Card;Food;Cooking Oil Bottle;10;3,88;3,15;0,000;38,80;7,30;0,19;66;2,8;OK;38,80;No Discount;38,80;2/5/23;OK;38,80;7,30;2023;05;18;Gold;Northeast;DC;1,59;May-2023;;
TXN_902448_20240908;TXN_902448;CUST_0350;In-store;Cash;Food;Cereal Box;15;7,51;4,73;0,032;109,05;38,10;0,35;33;9,1;OK;112,65;Discounted;109,05;8/9/24;OK;112,65;41,70;2024;09;37;Standard;Western Canada;AB;2,04;Sep-2024;;
TXN_834234_20230911;TXN_834234;CUST_0556;In-store;Credit Card;Food;Cereal Box;13;7,51;5,61;0,000;97,63;24,70;0,25;62;2,5;OK;97,63;No Discount;97,63;11/9/23;OK;97,63;24,70;2023;09;37;Gold;Eastern Canada;NS;1,99;Sep-2023;;
TXN_963379_20250704;TXN_963379;CUST_0010;Online;Credit Card;Food;Canned Beans;8;11,83;7,85;0,000;94,64;31,84;0,34;64;4,1;OK;94,64;No Discount;94,64;4/7/25;OK;94,64;31,84;2025;07;27;Standard;South;TX;1,98;Jul-2025;;
TXN_951819_20241026;TXN_951819;CUST_0416;In-store;Cash;Food;Cooking Oil Bottle;5;3,88;2,07;0,000;19,40;9,05;0,47;35;6,7;OK;19,40;No Discount;19,40;26/10/24;OK;19,40;9,05;2024;10;43;Standard;Northeast;MA;1,29;Oct-2024;;
TXN_282078_20240925;TXN_282078;CUST_0582;Online;Credit Card;Food;Cereal Box;15;7,51;6,75;0,034;108,82;7,57;0,07;55;5,5;OK;112,65;Discounted;108,82;25/9/24;OK;112,65;11,40;2024;09;39;Gold;West;AZ;2,04;Sep-2024;;
TXN_310063_20250203;TXN_310063;CUST_0282;In-store;Cash;Food;Pasta Pack;26;10,58;7,04;0,030;266,83;83,79;0,31;28;5,6;OK;275,08;Discounted;266,83;3/2/25;OK;275,08;92,04;2025;02;6;Standard;West;CA;2,43;Feb-2025;;
TXN_447999_20250327;TXN_447999;CUST_0728;In-store;Cash;Food;Cereal Box;4;7,51;4,17;0,000;30,04;13,36;0,44;35;9,8;OK;30,04;No Discount;30,04;27/3/25;OK;30,04;13,36;2025;03;13;Gold;West;NV;1,48;Mar-2025;;
TXN_213936_20230708;TXN_213936;CUST_0553;In-store;Credit Card;Food;Cooking Oil Bottle;14;3,88;3,22;0,000;54,32;9,24;0,17;59;5,4;OK;54,32;No Discount;54,32;8/7/23;OK;54,32;9,24;2023;07;27;Standard;South;TX;1,73;Jul-2023;;
TXN_967187_20231126;TXN_967187;CUST_0814;In-store;Cash;Food;Canned Beans;10;11,83;8,16;0,032;114,51;32,91;0,29;31;4,7;OK;118,30;Discounted;114,51;26/11/23;OK;118,30;36,70;2023;11;48;Standard;Northeast;DC;2,06;Nov-2023;;
TXN_129585_20240707;TXN_129585;CUST_0014;In-store;Cash;Food;Pasta Pack;17;10,58;5,81;0,035;173,56;74,79;0,43;39;6,5;OK;179,86;Discounted;173,56;7/7/24;OK;179,86;81,09;2024;07;28;Standard;Eastern Canada;ON;2,24;Jul-2024;;
TXN_389218_20231124;TXN_389218;CUST_0301;In-store;Credit Card;Food;Cereal Box;6;7,51;5,49;0,000;45,06;12,12;0,27;34;8,9;OK;45,06;No Discount;45,06;24/11/23;OK;45,06;12,12;2023;11;47;Gold;Midwest;OH;1,65;Nov-2023;;
TXN_443472_20230525;TXN_443472;CUST_0154;Online;Credit Card;Food;Rice Bag;6;11,77;9,39;0,000;70,62;14,28;0,20;20;9,5;OK;70,62;No Discount;70,62;25/5/23;OK;70,62;14,28;2023;05;21;Platinum;West;CA;1,85;May-2023;;
TXN_685034_20231020;TXN_685034;CUST_0612;In-store;Cash;Food;Rice Bag;7;11,77;7,44;0,000;82,39;30,31;0,37;41;3,1;OK;82,39;No Discount;82,39;20/10/23;OK;82,39;30,31;2023;10;42;Gold;South;FL;1,92;Oct-2023;;
TXN_462200_20240616;TXN_462200;CUST_0007;Online;Credit Card;Food;Canned Beans;6;11,83;8,29;0,000;70,98;21,24;0,30;41;4,0;OK;70,98;No Discount;70,98;16/6/24;OK;70,98;21,24;2024;06;25;Platinum;South;TX;1,85;Jun-2024;;
TXN_303300_20230710;TXN_303300;CUST_0677;In-store;Credit Card;Food;Pasta Pack;10;10,58;9,02;0,061;99,35;9,15;0,09;69;9,2;OK;105,80;Discounted;99,35;10/7/23;OK;105,80;15,60;2023;07;28;Platinum;South;TX;2,00;Jul-2023;;
TXN_535088_20241205;TXN_535088;CUST_0228;In-store;Digital Wallet;Food;Rice Bag;9;11,77;7,65;0,034;102,33;33,48;0,33;34;1,6;OK;105,93;Discounted;102,33;5/12/24;OK;105,93;37,08;2024;12;49;Gold;South;TX;2,01;Dec-2024;;
TXN_338891_20230523;TXN_338891;CUST_0946;In-store;Cash;Food;Rice Bag;9;11,77;10,26;0,035;102,22;9,88;0,10;30;3,9;OK;105,93;Discounted;102,22;23/5/23;OK;105,93;13,59;2023;05;21;Standard;Eastern Canada;NS;2,01;May-2023;;
TXN_407937_20250906;TXN_407937;CUST_0194;In-store;Cash;Food;Cereal Box;4;7,51;4,54;0,000;30,04;11,88;0,40;68;1,8;OK;30,04;No Discount;30,04;6/9/25;OK;30,04;11,88;2025;09;36;Standard;South;TN;1,48;Sep-2025;;
TXN_264819_20240203;TXN_264819;CUST_0285;In-store;Cash;Food;Cooking Oil Bottle;24;3,88;2,69;0,000;93,12;28,56;0,31;40;6,2;OK;93,12;No Discount;93,12;3/2/24;OK;93,12;28,56;2024;02;5;Platinum;West;WA;1,97;Feb-2024;;
TXN_564953_20240108;TXN_564953;CUST_0980;In-store;Credit Card;Food;Cereal Box;3;7,51;6,06;0,000;22,53;4,35;0,19;23;7,0;OK;22,53;No Discount;22,53;8/1/24;OK;22,53;4,35;2024;01;2;Standard;South;NC;1,35;Jan-2024;;
TXN_931184_20230711;TXN_931184;CUST_0874;In-store;Credit Card;Food;Cereal Box;17;7,51;4,69;0,041;122,44;42,71;0,35;48;5,5;OK;127,67;Discounted;122,44;11/7/23;OK;127,67;47,94;2023;07;28;Standard;Midwest;OH;2,09;Jul-2023;;
